Phenotype,MAIN_CONDITION
all other cancers,C34
all other cancers,C43
all other cancers,C45
all other cancers,C97
all other cancers,C15
all other cancers,C00
all other cancers,C01
all other cancers,C02
all other cancers,C03
all other cancers,C04
all other cancers,C05
all other cancers,C06
all other cancers,C07
all other cancers,C08
all other cancers,C09
all other cancers,C10
all other cancers,C11
all other cancers,C12
all other cancers,C13
all other cancers,C14
all other cancers,C17
all other cancers,C23
all other cancers,C31
all other cancers,C32
all other cancers,C37
all other cancers,C46
all other cancers,C47
all other cancers,C48
all other cancers,C49
all other cancers,C51
all other cancers,C52
all other cancers,C57
all other cancers,C58
all other cancers,C60
all other cancers,C63
all other cancers,C68
all other cancers,C69
all other cancers,C74
all other cancers,C76
all other cancers,C80
all other cancers,C96
all other cancers,C56
all other cancers,C25
all other cancers,C44
all other cancers,C16
all other cancers,C73
all other cancers,C54
all other cancers,C55
Psoriasis,L40
valvular heart disease,I05
valvular heart disease,I06
valvular heart disease,I07
Inflammatory arthritis,M05
Inflammatory arthritis,M06
Sarcoidosis,D86
Schizophrenia & Non affective psychosis,F20
Schizophrenia & Non affective psychosis,F21
Schizophrenia & Non affective psychosis,F22
Schizophrenia & Non affective psychosis,F25
Schizophrenia & Non affective psychosis,F28
Schizophrenia & Non affective psychosis,F29
Scoliosis,M41
other dermatology conditions,L21
all other cancers,C77
Systemic Lupus Erythematosus,L93
Systemic Lupus Erythematosus,M32
Spina bifida,Q05
stroke,I64
stroke,I60
History of substance misuse,F11
History of substance misuse,F12
History of substance misuse,F13
History of substance misuse,F14
History of substance misuse,F15
History of substance misuse,F16
History of substance misuse,F18
History of substance misuse,F19
Inflammatory arthritis,M34
stroke,I65
stroke,I66
Inflammatory bowel disease,K51
Urolithiasis / kidney stones,N23
other dermatology conditions,L50
Autoimmune skin disease,L80
Venous thromboembolism,I81
congenital heart disease,Q20
congenital heart disease,Q22
congenital heart disease,Q23
congenital heart disease,Q24
congenital heart disease,Q25
congenital heart disease,Q26
ezcema,L20
other mental health conditions,F44
other mental health conditions,X60
other mental health conditions,X61
other mental health conditions,X62
other mental health conditions,X63
other mental health conditions,X64
other mental health conditions,X65
other mental health conditions,X66
other mental health conditions,X67
other mental health conditions,X68
other mental health conditions,X69
other mental health conditions,X70
other mental health conditions,X71
other mental health conditions,X72
other mental health conditions,X73
other mental health conditions,X74
other mental health conditions,X75
other mental health conditions,X76
other mental health conditions,X77
other mental health conditions,X78
other mental health conditions,X79
other mental health conditions,X80
other mental health conditions,X81
other mental health conditions,X82
other mental health conditions,X83
other mental health conditions,X84
"Pulmonary fibrosis, instertitial lung disease",J60
"Pulmonary fibrosis, instertitial lung disease",J61
"Pulmonary fibrosis, instertitial lung disease",J62
"Pulmonary fibrosis, instertitial lung disease",J63
"Pulmonary fibrosis, instertitial lung disease",J64
"Pulmonary fibrosis, instertitial lung disease",J65
"Pulmonary fibrosis, instertitial lung disease",J66
"Pulmonary fibrosis, instertitial lung disease",J67
"Pulmonary fibrosis, instertitial lung disease",J84
Adrenal tumour,D35
Adrenal tumour,E25
Asthma,J45
Asthma,J46
Atrial Fibrillation,I48
Haemophilia,D66
Haemophilia,D67
Hypertension,I11
Hypertension,I12
Hypertension,I13
Hypertension,I15
Hypertension,I10
Ischemic heart disease & Myocardial Infraction,I21
Ischemic heart disease & Myocardial Infraction,I22
Ischemic heart disease & Myocardial Infraction,I20
Ischemic heart disease & Myocardial Infraction,I23
Ischemic heart disease & Myocardial Infraction,I24
Ischemic heart disease & Myocardial Infraction,I25
Turners syndrome,Q96
Peptic ulcer disease,K27
Peptic ulcer disease,K26
Peptic ulcer disease,K25
Primary systemic vasculitis,M30
Primary systemic vasculitis,M31
Psychoses,F23
Psychoses,F24
